Conidia-passaged	Mycelium-passaged
1,35372627	1,02192711
0,03455181	0,6813886
0,01416832	0,79542264
1,41494285	0,56451582
1,49957495	1,62996442
1,07443091	1,06435234
1,39698687	1,03677277
0,02392872	0,67206462
0,08312081	0,60851043
1,83827335	0,39349937
0,10969428	0,94654486
0,24334876	0,55426291
2,36897138	0,86062121
2,01473505	0,73685931
1,65274393	1,86051351
1,14272221	1,25592076
0,07153427	1,0681604
1,36549542	1,0398596
0,02479456	0,5731128
0,01983565	0,41957881
1,51128743	0,77095875
1,49948049	0,55178767
1,16203835	0,86569862
1,56384245	0,58799885
0,0273606	1,87587268
0,0307547	1,04995673
1,64611316	1,18811424
0,23003054	1,01484758
0,16652498	0,71144341
1,9913101	0,42211751
2,1206763	
1,62372721	
1,07650893	
0,05090205	
1,74213658	
0,01341268	
0,01828658	
1,52079909	
1,51204307	
1,44436573	
1,64787003	
0,0140959	
0,03975945	
1,71379994	
0,14213658	
0,18209439	
1,99252857	
2,48291301	
1,50467555	
1,16682724	
0,0449608	
