Conidia-passaged	Mycelium-passaged
1,2900554	1,0149733
1,1392477	1,0252059
1,1977068	0,9853635
1,2312855	0,8751101
1,1833886	0,9455987
1,162123	1,0133154
0,9177524	1,5250505
0,9869997	1,4624631
0,9989457	1,3889695
1,3684245	1,4210663
1,2876831	1,4607015
1,4121136	1,4262214
1,4643597	1,3761981
1,4272226	1,376768
1,3946323	1,3308378
1,2845483	1,2864618
1,3767557	1,4557018
1,4300467	1,2998549
1,2836164	1,2640278
1,378902	1,3237138
1,3806529	1,2900627
1,3287175	1,2585876
1,3479779	1,3070566
1,3507738	1,3014093
1,2946304	1,0469406
1,3614772	0,9064297
1,2528618	0,9955702
1,3959314	0,8913269
1,3711074	0,8240247
1,4481775	0,7235117
0,1280736	
0,1224536	
0,1156475	
0,143578	
0,1197989	
0,1422789	
1,4008736	
1,29271	
1,1481719	
1,1062055	
1,1981304	
1,3070283	
1,3749765	
1,4281545	
1,3715028	
1,4720413	
1,4346782	
1,3207535	
0,922864	
0,8531084	
0,8580506	
