Conidia-passaged	Mycelium-passaged
2,50564881	0,77236304
1,26856036	0,37525987
1,42713041	1,73461062
3,36507424	1,30415687
1,43657198	1,71405565
2,71142673	1,62472061
4,11362169	1,57588061
2,10135571	1,39375543
1,68253712	0,63492002
8,11007101	0,43159569
0,85409942	0,64402627
1,22098935	0,67485872
1,97546804	2,22181013
2,51472724	1,48434953
3,24281795	1,6402686
2,473148	1,44991557
1,15550355	1,69973745
3,51517108	1,84590609
1,41623628	0,66408347
1,47070691	0,48330519
2,3894448	0,79233239
1,22716269	0,46193037
3,05035507	1,76638004
5,0609264	1,85785256
2,39670755	1,43779342
2,44512589	1,38110622
6,81851194	1,84204105
1,0320368	1,36552895
0,97562944	0,48717023
3,5841672	0,45396605
2,71626856	
4,77404777	
2,19066333	
1,12040026	
3,38928341	
2,14977405	
1,93189154	
2,67269206	
1,43802453	
3,36507424	
6,68173015	
2,85426081	
2,20303422	
7,62830859	
0,77227243	
1,17075533	
2,37855068	
3,1423499	
2,69205939	
2,36269367	
1,09364913	
