Conidia-passaged	Mycelium-passaged
1,30793946	0,92520464
1,47370737	1,04918392
1,44644776	1,3845098
1,21480246	1,29183119
1,28899895	1,29541182
1,35628844	1,35825186
0,95175335	1,35998249
1,41955652	1,56846461
1,45617895	0,9144926
0,94180728	0,84807193
0,10397331	1,21195333
0,09709702	0,97208104
1,27610589	1,33828985
1,15276229	1,48235048
1,21234664	1,32116251
1,09830446	1,33202375
1,23638299	1,43875633
1,24617557	1,54217682
1,54130384	1,15490198
1,4362254	1,00135268
1,22032806	0,93555863
1,18051306	1,00397848
1,23653647	1,32348992
0,93941285	1,3812574
1,42686259	1,26509583
1,46047663	1,4272088
0,86730382	1,32686168
0,09976772	1,57413394
0,09276863	1,19822759
1,31635065	0,84765419
1,25544629	
1,26846214	
1,22290667	
1,32138508	
1,24964442	
1,46876503	
1,48985439	
1,27337379	
1,25031977	
1,35294238	
0,96796177	
1,43548866	
1,50830374	
0,99442324	
0,09504027	
0,07840208	
1,27500077	
1,24460998	
1,23583043	
1,26987424	
1,21609177	
