gene/TE	count	sample
"gene_1"	42	W12MR1
"gene_10"	3	W12MR1
"gene_100"	3	W12MR1
"gene_1000"	3009	W12MR1
"gene_10000"	13	W12MR1
"gene_10001"	10	W12MR1
"gene_10002"	3	W12MR1
"gene_10003"	98	W12MR1
"gene_10004"	9146	W12MR1
"gene_10005"	2634	W12MR1
"gene_10006"	6511	W12MR1
"gene_10007"	530	W12MR1
"gene_10008"	930	W12MR1
"gene_10009"	946	W12MR1
"gene_1001"	5132	W12MR1
"gene_10010"	2	W12MR1
"gene_10011"	0	W12MR1
"gene_10012"	71	W12MR1
"gene_10013"	10	W12MR1
"gene_10014"	46	W12MR1
"gene_10015"	0	W12MR1
"gene_10016"	247	W12MR1
"gene_10017"	1922	W12MR1
"gene_10018"	19095	W12MR1
"gene_10019"	4927	W12MR1
"gene_1002"	9	W12MR1
"gene_10020"	2666	W12MR1
"gene_10021"	204	W12MR1
"gene_10022"	1116	W12MR1
"gene_10023"	3	W12MR1
"gene_10024"	0	W12MR1
"gene_10025"	57	W12MR1
"gene_10026"	43	W12MR1
"gene_10027"	145	W12MR1
"gene_10028"	12	W12MR1
"gene_10029"	1	W12MR1
"gene_1003"	699	W12MR1
"gene_10030"	0	W12MR1
"gene_10031"	0	W12MR1
"gene_10032"	2	W12MR1
"gene_10033"	4	W12MR1
"gene_10034"	5	W12MR1
"gene_10035"	17	W12MR1
"gene_10036"	50	W12MR1
"gene_10037"	392	W12MR1
"gene_10038"	224	W12MR1
"gene_10039"	0	W12MR1
"gene_1004"	253	W12MR1
"gene_10040"	915	W12MR1
"gene_10041"	37	W12MR1
"gene_10042"	137	W12MR1
"gene_10043"	1130	W12MR1
"gene_10044"	63	W12MR1
"gene_10045"	65	W12MR1
"gene_10046"	34	W12MR1
"gene_10047"	0	W12MR1
"gene_10048"	0	W12MR1
"gene_10049"	0	W12MR1
"gene_1005"	166	W12MR1
"gene_10050"	14	W12MR1
"gene_10051"	4	W12MR1
"gene_10052"	20	W12MR1
"gene_10053"	21	W12MR1
"gene_10054"	17	W12MR1
"gene_10055"	230	W12MR1
"gene_10056"	70	W12MR1
"gene_10057"	2336	W12MR1
"gene_10058"	492	W12MR1
"gene_10059"	10	W12MR1
"gene_1006"	597	W12MR1
"gene_10060"	841	W12MR1
"gene_10061"	817	W12MR1
"gene_10062"	6238	W12MR1
"gene_10063"	3657	W12MR1
"gene_10064"	801	W12MR1
"gene_10065"	4485	W12MR1
"gene_10066"	3778	W12MR1
"gene_10067"	16146	W12MR1
"gene_10068"	4480	W12MR1
"gene_10069"	2693	W12MR1
"gene_1007"	5064	W12MR1
"gene_10070"	918	W12MR1
"gene_10072"	31003	W12MR1
"gene_10073"	61	W12MR1
"gene_10074"	4	W12MR1
"gene_10075"	2	W12MR1
"gene_10076"	177080	W12MR1
"gene_10077"	3078	W12MR1
"gene_10078"	42	W12MR1
"gene_10079"	122	W12MR1
"gene_1008"	125	W12MR1
"gene_10080"	677	W12MR1
"gene_10081"	25377	W12MR1
"gene_10082"	1037	W12MR1
"gene_10083"	0	W12MR1
"gene_10084"	0	W12MR1
"gene_10085"	188	W12MR1
