# Positions of Hornet and Hormin TEs in the Ayhan et al. (2025) Fol4287 reference genome

Scaffold_Foxy3	Chromosome	TE_position	TE
scaffold_1	Chr1	374107	Hormin
scaffold_4	Chr2	4508406	Hormin
scaffold_16	Chr2	4911212	Hormin
scaffold_16	Chr2	4998574	Hormin
scaffold_16	Chr2	5041964	Hormin
scaffold_16	Chr2	5185202	Hornet
scaffold_16	Chr2	5336844	Hormin
scaffold_15	Chr3	933294	Hornet
scaffold_15	Chr3	818770	Hormin
scaffold_15	Chr3	563754	Hormin
scaffold_17	Chr3	1358018	Hornet
scaffold_17	Chr3	1156231	Hormin
scaffold_17	Chr3	1103104	Hornet
scaffold_17	Chr3	1089978.5	Hornet
scaffold_7	Chr3	3027277	Hormin
scaffold_7	Chr3	3741969	Hormin
scaffold_7	Chr3	3867249	Hormin
scaffold_7	Chr3	4012312.5	Hormin
scaffold_7	Chr3	4034435	Hormin
scaffold_7	Chr3	4417124	Hormin
scaffold_7	Chr3	4718042.5	Hormin
scaffold_7	Chr3	4723317.5	Hormin
scaffold_7	Chr3	1787035	Hornet
scaffold_7	Chr3	1809064	Hormin
scaffold_19	Chr3	5033936	Hormin
scaffold_19	Chr3	5092662	Hornet
scaffold_18	Chr3	5660031	Hormin
scaffold_2	Chr4	339842	Hormin
scaffold_2	Chr4	462587	Hormin
scaffold_2	Chr4	3021199	Hormin
scaffold_2	Chr4	3324131	Hormin
scaffold_2	Chr4	3387325	Hormin
scaffold_2	Chr4	4841501	Hormin
scaffold_2	Chr4	5398474	Hormin
scaffold_3	Chr5	478614	Hormin
scaffold_3	Chr5	5003124	Hormin
scaffold_5	Chr7	4283343	Hormin
scaffold_6	Chr8	39296	Hornet
scaffold_6	Chr8	1626940.5	Hormin
scaffold_6	Chr8	1831489	Hormin
scaffold_6	Chr8	3532472	Hormin
scaffold_6	Chr8	3614811	Hornet
scaffold_6	Chr8	3818229	Hormin
scaffold_6	Chr8	3954680	Hormin
scaffold_6	Chr8	3999864	Hormin
scaffold_6	Chr8	4121364	Hormin
scaffold_9	Chr9	735464	Hormin
scaffold_9	Chr9	3051173	Hormin
scaffold_8	Chr10	468310	Hormin
scaffold_8	Chr10	3320427	Hormin
scaffold_10	Chr11	1440875	Hormin
scaffold_10	Chr11	1464779	Hormin
scaffold_10	Chr11	1857142	Hormin
scaffold_10	Chr11	2394685	Hormin
scaffold_10	Chr11	2571052	Hormin
scaffold_11	Chr12	11139	Hormin
scaffold_11	Chr12	863763	Hormin
scaffold_11	Chr12	1341060	Hormin
scaffold_11	Chr12	2090676	Hormin
scaffold_11	Chr12	2515763	Hormin
scaffold_12	Chr13	682736	Hormin
scaffold_12	Chr13	1435215	Hormin
scaffold_12	Chr13	2112825	Hormin
scaffold_12	Chr13	2176904	Hormin
scaffold_13	Chr14	58359.5	Hornet
scaffold_13	Chr14	112246	Hormin
scaffold_13	Chr14	117790	Hornet
scaffold_13	Chr14	329095	Hornet
scaffold_13	Chr14	587226	Hornet
scaffold_13	Chr14	660902	Hornet
scaffold_13	Chr14	840045.5	Hornet
scaffold_13	Chr14	843956	Hormin
scaffold_13	Chr14	897253	Hormin
scaffold_13	Chr14	1491723	Hornet
scaffold_13	Chr14	1558507	Hornet
scaffold_13	Chr14	1668235	Hornet
scaffold_13	Chr14	1677233	Hormin
scaffold_13	Chr14	1747632.5	Hornet
scaffold_13	Chr14	1763486.5	Hornet
scaffold_13	Chr14	1833433.5	Hornet
scaffold_13	Chr14	1962669	Hornet
scaffold_13	Chr14	1996938	Hormin
scaffold_13	Chr14	2082369	Hornet
scaffold_14	Chr15	639496	Hormin
scaffold_14	Chr15	230534.5	Hormin
scaffold_14	Chr15	198792	Hormin
scaffold_36	Unpositioned	6639	Hormin
