## Correspondence between Fol4287 chromosomes from Ma et al. (2010) and scaffolds from Ayhan et al (2025) assemblies. Determination of chromosome sizes and classification based on genomic compartment: Core, Accessory or Fast-core (Fokkens et al., 2018) 

Scaffold_Foxy3	Scaffold_size	Chromosome	Chromosome_Size	Start_in_chr	End_in_chr	Type
scaffold_1	6137321	Chr1	6137321	0	6137321	Core
scaffold_4	4757537	Chr2	5487945	0	4757537	Core
scaffold_16	730408	Chr2	5487945	4757538	5487945	Accessory
scaffold_15	1083666	Chr3	5806384	0	1083666	Accessory
scaffold_17	450323	Chr3	5806384	1083667	1533989	Accessory
scaffold_26	24999	Chr3	5806384	1533990	1558988	Accessory
scaffold_7	3452175	Chr3	5806384	1558989	5011163	Accessory
scaffold_41	4946	Chr3	5806384	5011164	5016109	Accessory
scaffold_19	235100	Chr3	5806384	5016110	5251209	Accessory
scaffold_34	8119	Chr3	5806384	5251210	5259328	Accessory
scaffold_31	13552	Chr3	5806384	5259329	5272880	Accessory
scaffold_20	52581	Chr3	5806384	5272881	5325461	Accessory
scaffold_27	23002	Chr3	5806384	5325462	5348463	Accessory
scaffold_28	22713	Chr3	5806384	5348464	5371176	Accessory
scaffold_18	380868	Chr3	5806384	5371177	5752044	Accessory
scaffold_24	27315	Chr3	5806384	5752045	5779359	Accessory
scaffold_35	7275	Chr3	5806384	5779360	5786634	Accessory
scaffold_29	19750	Chr3	5806384	5786635	5806384	Accessory
scaffold_2	5440777	Chr4	5440777	0	5440777	Core
scaffold_3	5188057	Chr5	5188057	0	5188057	Core
scaffold_5	4401745	Chr7	4401745	0	4401745	Core
scaffold_6	4139508	Chr8	4139508	0	4139508	Core
scaffold_9	3418069	Chr9	3418069	0	3418069	Core
scaffold_8	3451790	Chr10	3451790	0	3451790	Core
scaffold_10	2964055	Chr11	2964055	0	2964055	Fast-core
scaffold_11	2847772	Chr12	2847772	0	2847772	Fast-core
scaffold_12	2618775	Chr13	2618775	0	2618775	Fast-core
scaffold_13	2330826	Chr14	2330826	0	2330826	Accessory
scaffold_32	9370	Chr15	1286445	0	9370	Accessory
scaffold_14	1154421	Chr15	1286445	9371	1163791	Accessory
scaffold_22	27909	Chr15	1286445	1163792	1191700	Accessory
scaffold_38	5262	Chr15	1286445	1191701	1196962	Accessory
scaffold_23	27625	Chr15	1286445	1196963	1224587	Accessory
scaffold_37	6475	Chr15	1286445	1224588	1231062	Accessory
scaffold_43	2925	Chr15	1286445	1231063	1233987	Accessory
scaffold_39	5062	Chr15	1286445	1233988	1239049	Accessory
scaffold_25	26496	Chr15	1286445	1239050	1265545	Accessory
scaffold_42	4777	Chr15	1286445	1265546	1270322	Accessory
scaffold_33	8702	Chr15	1286445	1270323	1279024	Accessory
scaffold_40	4993	Chr15	1286445	1279025	1284017	Accessory
scaffold_44	2428	Chr15	1286445	1284018	1286445	Accessory
scaffold_30	15130	Unpositioned	60851	0	15130	Accessory
scaffold_36	7162	Unpositioned	60851	15131	22292	Accessory
scaffold_21	38559	Unpositioned	60851	22293	60851	Accessory
