TE	length
MarCry-1_FO	1916
SkippyL34658	7846
FoxyAJ250814	655
Foxy2	659
Foxy3	912
Hormin	759
MarsuAF076630	2440
hAT210_FOL	2720
hAT36_FOL	604
Han-full	5195
Copia19_FOL	4923
Copia60_FOL	470
Copia84_FOL	593
Copia200_FOL	3732
Gollum-full	5629
Gollum	156
Gollum-Fv1	169
Gollum-Fv2	154
Gollum-Fv4	188
Strider	6129
Fot1	1929
Fot1-M24	1928
Fot2	2216
Fot2-M24	2215
Fot3	2204
Fot3-M24	2189
Fot4Short	1848
Fotnew	2211
Fot129_FOL	1857
Fot159_FOL	1564
HopAY267761	3299
Hop2	3005
Frodo	2815
Gimli	327
Sam	3057
NhORF4-like	3325
hAT178_FOL	2436
hAT105_FOL	3128
Folyt1AF057141	2615
Folyt2	2457
Tfo1	3805
Tfo2	2418
Tfo3	2916
Pot2	1861
Pot3	1860
Pot4	1858
MIMP1	224
MIMP2	213
MIMP3	216
MIMP4	220
Merry	2989
Hornet	2995
DrifterAY751529	2880
Drifter2	2816
Fo-Helitron2-FOXG-14222	3986
Fo-Helitron3-FOXG-06459	6225
FoHelitron4-FOXG-12592	5563
FoHelitron5-FOXG-14988	6506
FoHelitron6-FOXG-06452	6240
Tad1-1_FOL	1286
Tad1-78_FOL	3757
Tad1-102_FOL	1135
Tad1-158_FOL	808
Gypsy4_FOL	5235
Gypsy5_FOL	375
Gypsy10_FOL	6492
Gypsy130_FOL	1559
Gypsy245_FOL	9461
PiggyBac	1694
PiggyBac64_FOL	262
PiggyBac75_FOL	995
MuDR42_FOL	2891
Tag106_FOL	2311
Restless136_FOL	1009
Tc149_FOL	1392
